"Policy","Rule_name","mean.wait","sd.wait","mean.OT","sd.OT","mean.Idle","sd.Idle","excess.wait.rate","extreme.wait.rate","excess.OT.rate","extreme.OT.rate"
"1;A-2,3,4,5,6,7,8,9,10,11,12,13,14;B","ABBBBBBBBBBBBBCC",6.13846416666667,1.9999421666154,4.771555,9.79772740431755,27.6819916666667,17.9461408823571,14.35125,0.87875,3.55,1.11
"1;A-2,3,4,5,6,7,8,9,10,11,12,13,15;B","ABBBBBBBBBBBBCBC",6.02509135416667,1.92876369655829,4.94908666666667,9.83640092432881,28.0597783333333,18.0148007203591,14.01875,0.845625,3.59,1.11
"1;A-2,3,4,5,6,7,8,9,10,11,12,13,16;B","ABBBBBBBBBBBBCCB",5.9043796875,1.95419099549719,5.43713166666667,9.85906213930229,29.4922516666667,18.4426979187966,13.73375,0.815,3.7,1.11
"1;A-2,3,4,5,6,7,8,9,10,11,12,14,15;B","ABBBBBBBBBBBCBBC",5.93329739583333,1.86857502985009,5.102735,9.89500899730502,28.3321733333333,18.0572660483284,13.74625,0.809375,3.7,1.12
"1;A-2,3,4,5,6,7,8,9,10,11,12,14,16;B","ABBBBBBBBBBBCBCB",5.80671395833333,1.87313997747789,5.56004166666667,9.90705265599249,29.6706983333333,18.4676319770226,13.439375,0.778125,3.8,1.12
"1;A-2,3,4,5,6,7,8,9,10,11,12,15,16;B","ABBBBBBBBBBBCCBB",5.71768802083333,1.88245191504937,5.87191333333333,9.98437627966328,30.1489616666667,18.5571376135304,13.224375,0.7425,3.84,1.13
"1;A-2,3,4,5,6,7,8,9,10,11,13,14,15;B","ABBBBBBBBBBCBBBC",5.85236364583333,1.81833054269327,5.22928666666667,9.98259542687901,28.5175383333333,18.061468553844,13.55125,0.775,3.82,1.15
"1;A-2,3,4,5,6,7,8,9,10,11,13,14,16;B","ABBBBBBBBBBCBBCB",5.72352177083333,1.8042093996854,5.675245,9.99037847606753,29.8199283333333,18.4655370576792,13.234375,0.743125,3.92,1.15
"1;A-2,3,4,5,6,7,8,9,10,11,13,15,16;B","ABBBBBBBBBBCBCBB",5.6284625,1.79695656467725,5.97293666666667,10.0581038448913,30.2753433333333,18.558291872777,12.996875,0.705625,3.96,1.15
"1;A-2,3,4,5,6,7,8,9,10,11,14,15,16;B","ABBBBBBBBBBCCBBB",5.5589384375,1.80605898373538,6.19207166666667,10.1648962591205,30.58466,18.5787312627142,12.803125,0.67625,4.11,1.16
"1;A-2,3,4,5,6,7,8,9,10,12,13,14,15;B","ABBBBBBBBBCBBBBC",5.78757947916667,1.78339651432604,5.36294166666667,10.0748567915645,28.70004,18.0430543750086,13.3625,0.749375,3.9,1.17
"1;A-2,3,4,5,6,7,8,9,10,12,13,14,16;B","ABBBBBBBBBCBBBCB",5.65675427083333,1.75034192590455,5.79991833333333,10.0759738895984,29.9706966666667,18.4490737145399,13.039375,0.715,3.99,1.17
