"Policy","Rule_name","mean.wait","sd.wait","mean.OT","sd.OT","mean.Idle","sd.Idle","excess.wait.rate","extreme.wait.rate","excess.OT.rate","extreme.OT.rate"
"1,2,3,4,5,6,7;A","AAAAAAABBBBBBBBB",7.1284796875,2.93658029314101,5.513615,10.2095308984901,27.205255,18.6177797884668,17.690625,1.314375,3.94,1.14
"1,2,3,4,5,6,8;A","AAAAAABABBBBBBBB",7.03441604166667,2.78678537001001,5.54062333333333,10.228829213744,27.2389783333333,18.6018050076699,17.415,1.261875,3.96,1.14
"1,2,3,4,5,6,9;A","AAAAAABBABBBBBBB",6.96137739583333,2.68788262011645,5.58907333333333,10.2684792581269,27.2982933333333,18.5708332055851,17.186875,1.219375,4,1.17
"1,2,3,4,5,6,10;A","AAAAAABBBABBBBBB",6.8970575,2.62272912555407,5.65707333333333,10.3097202974828,27.3830383333333,18.5479509898716,16.965625,1.17875,4.05,1.15
"1,2,3,4,5,6,11;A","AAAAAABBBBABBBBB",6.82998989583333,2.57922729855198,5.73625166666667,10.3634432419401,27.485505,18.5248064449724,16.756875,1.134375,4.16,1.14
"1,2,3,4,5,6,12;A","AAAAAABBBBBABBBB",6.765296875,2.55387743808355,5.84491333333333,10.4138957991263,27.630195,18.5107005211045,16.575625,1.104375,4.19,1.14
"1,2,3,4,5,6,13;A","AAAAAABBBBBBABBB",6.69178833333333,2.54385273926418,5.99242833333333,10.4727710692446,27.8246216666667,18.5079130832487,16.349375,1.076875,4.23,1.16
"1,2,3,4,5,6,14;A","AAAAAABBBBBBBABB",6.60794083333333,2.54741556067212,6.18902,10.536358952748,28.0971933333333,18.5357755107972,16.115625,1.0525,4.33,1.18
"1,2,3,4,5,6,15;A","AAAAAABBBBBBBBAB",6.50835885416667,2.56183825644159,6.46829333333333,10.5989133664924,28.52439,18.6255445005218,15.83625,1.0275,4.44,1.18
"1,2,3,4,5,6,16;A","AAAAAABBBBBBBBBA",6.3860575,2.57840011884466,6.903005,10.6406858397139,29.3267716666667,18.9047306049338,15.53125,1.00875,4.55,1.18
"1,2,3,4,5,7,8;A","AAAAABAABBBBBBBB",6.96618791666667,2.7098958086484,5.57793833333333,10.2673916962326,27.2855983333333,18.569176007704,17.199375,1.20875,4.04,1.15
"1,2,3,4,5,7,9;A","AAAAABABABBBBBBB",6.88855302083333,2.5912677049602,5.62724166666667,10.3039127348695,27.34549,18.5385868939557,16.955,1.165,4.07,1.18
"1,2,3,4,5,7,10;A","AAAAABABBABBBBBB",6.82235197916667,2.51414573038219,5.69315833333333,10.3463463984463,27.4282583333333,18.5168047498653,16.728125,1.125,4.13,1.17
"1,2,3,4,5,7,11;A","AAAAABABBBABBBBB",6.753668125,2.46115378220339,5.77078666666667,10.3983032187909,27.5283883333333,18.494145395669,16.501875,1.08375,4.24,1.16
"1,2,3,4,5,7,12;A","AAAAABABBBBABBBB",6.68724322916667,2.42825325256902,5.87774333333333,10.4498432182181,27.6706866666667,18.4814370194025,16.3,1.0525,4.27,1.16
"1,2,3,4,5,7,13;A","AAAAABABBBBBABBB",6.6123084375,2.41189986512358,6.02391333333333,10.507451148532,27.863075,18.4795316361701,16.069375,1.0225,4.31,1.18
"1,2,3,4,5,7,14;A","AAAAABABBBBBBABB",6.52772614583333,2.41036259598524,6.218175,10.5695742954592,28.13328,18.5085357809173,15.835,0.995625,4.41,1.2
"1,2,3,4,5,7,15;A","AAAAABABBBBBBBAB",6.42816708333333,2.42007957888468,6.49742333333333,10.6313725136737,28.5603583333333,18.5985593060974,15.555625,0.969375,4.53,1.2
"1,2,3,4,5,7,16;A","AAAAABABBBBBBBBA",6.30577625,2.43142450876508,6.93109166666667,10.671128383047,29.3613083333333,18.8767457286023,15.249375,0.950625,4.64,1.2
