"Policy","Rule_name","mean.wait","sd.wait","mean.OT","sd.OT","mean.Idle","sd.Idle","excess.wait.rate","extreme.wait.rate","excess.OT.rate","extreme.OT.rate"
"1,2,3,4,5,6;A","AAAAAABBBBBBBBBB",6.3860575,2.57840011884466,4.94244833333333,9.3866529493816,29.3267716666667,18.9047306049338,15.53125,1.00875,3.38,0.83
"1,2,3,4,5,7;A","AAAAABABBBBBBBBB",6.30577625,2.43142450876508,4.97195166666667,9.41776331200305,29.3613083333333,18.8767457286023,15.249375,0.950625,3.41,0.84
"1,2,3,4,5,8;A","AAAAABBABBBBBBBB",6.2354653125,2.33000049010901,5.01790666666667,9.46551175163492,29.4127733333333,18.8462508241198,15.03,0.916875,3.48,0.85
"1,2,3,4,5,9;A","AAAAABBBABBBBBBB",6.17946364583333,2.26400156972055,5.0726,9.50802514515411,29.4789916666667,18.8102920985038,14.846875,0.8725,3.54,0.86
"1,2,3,4,5,10;A","AAAAABBBBABBBBBB",6.11979885416667,2.21709823722341,5.13823,9.56809526096513,29.5617833333333,18.7785952156288,14.656875,0.8375,3.59,0.87
"1,2,3,4,5,11;A","AAAAABBBBBABBBBB",6.06152322916667,2.18683408396412,5.22755666666667,9.63867307192938,29.6748666666667,18.7442181247735,14.431875,0.82,3.67,0.88
"1,2,3,4,5,12;A","AAAAABBBBBBABBBB",6.0016228125,2.17121342098135,5.353365,9.71850913531498,29.83388,18.7170981386802,14.234375,0.80125,3.75,0.88
"1,2,3,4,5,13;A","AAAAABBBBBBBABBB",5.9339378125,2.16747057360688,5.53247666666667,9.82030207950595,30.0597733333333,18.6988366458698,14.06625,0.779375,3.83,0.89
"1,2,3,4,5,14;A","AAAAABBBBBBBBABB",5.854879375,2.17365187952125,5.770045,9.93308222580836,30.3908683333333,18.7272253634969,13.85875,0.7575,3.95,0.89
"1,2,3,4,5,15;A","AAAAABBBBBBBBBAB",5.75864291666667,2.18403647062849,6.08662833333333,10.0110360147337,30.8709333333333,18.8263346965252,13.61375,0.7375,4.03,0.91
"1,2,3,4,5,16;A","AAAAABBBBBBBBBBA",5.62880697916667,2.18693511580343,6.54218666666667,10.0333027685825,31.7118516666667,19.1158615542133,13.264375,0.715,4.11,0.91
"1,2,3,4,6,7;A","AAAABAABBBBBBBBB",6.25071364583333,2.38032443009827,5.00829,9.44727628831271,29.404035,18.8429727162783,15.0375,0.91625,3.41,0.83
"1,2,3,4,6,8;A","AAAABABABBBBBBBB",6.17197802083333,2.25586095359524,5.049245,9.49253264108234,29.4507833333333,18.8163022030934,14.803125,0.88375,3.48,0.84
"1,2,3,4,6,9;A","AAAABABBABBBBBBB",6.11294,2.17586249032798,5.10479333333333,9.53769787695305,29.5173316666667,18.7800244221103,14.618125,0.840625,3.54,0.85
"1,2,3,4,6,10;A","AAAABABBBABBBBBB",6.05183614583333,2.11880426805123,5.16912166666667,9.59689818764443,29.5981883333333,18.7503041833905,14.426875,0.805,3.59,0.86
"1,2,3,4,6,11;A","AAAABABBBBABBBBB",5.99293916666667,2.08081519654428,5.25775,9.66665466797372,29.710455,18.7167228171568,14.195,0.788125,3.67,0.87
"1,2,3,4,6,12;A","AAAABABBBBBABBBB",5.93162041666667,2.05868628771517,5.382065,9.74607607462239,29.8679916666667,18.6900575273317,13.990625,0.76875,3.76,0.87
"1,2,3,4,6,13;A","AAAABABBBBBBABBB",5.86288020833333,2.04967009904014,5.55923,9.84651816516252,30.091755,18.673140581211,13.816875,0.744375,3.84,0.88
"1,2,3,4,6,14;A","AAAABABBBBBBBABB",5.78323552083333,2.0511864303634,5.79582,9.95762907237722,30.4212716666667,18.7021099713417,13.605625,0.72,3.96,0.88
"1,2,3,4,6,15;A","AAAABABBBBBBBBAB",5.68655833333333,2.05676979439426,6.11097333333333,10.0340088198602,30.8985,18.8020338692383,13.36,0.699375,4.04,0.9
"1,2,3,4,6,16;A","AAAABABBBBBBBBBA",5.55667645833333,2.05315862211157,6.56552333333333,10.0545783204899,31.7386833333333,19.0916131342778,13.009375,0.676875,4.12,0.9
"1,2,3,4,7,8;A","AAAABBAABBBBBBBB",6.13725552083333,2.24678624504908,5.10232166666667,9.54811454966129,29.5141233333333,18.7767168185854,14.695625,0.8625,3.55,0.87
"1,2,3,4,7,9;A","AAAABBABABBBBBBB",6.07056395833333,2.14578895668434,5.15613666666667,9.59171721102843,29.5781933333333,18.7400328520753,14.473125,0.819375,3.6,0.88
"1,2,3,4,7,10;A","AAAABBABBABBBBBB",6.00588354166667,2.07446298270571,5.21895166666667,9.6499937155985,29.6576383333333,18.7104850081952,14.273125,0.784375,3.65,0.89
"1,2,3,4,7,11;A","AAAABBABBBABBBBB",5.94415520833333,2.0261732477063,5.306615,9.71966808520454,29.7686683333333,18.6764513969481,14.021875,0.768125,3.73,0.9
"1,2,3,4,7,12;A","AAAABBABBBBABBBB",5.88184677083333,1.9967160009386,5.429585,9.79712414196286,29.923895,18.6503651632986,13.81375,0.750625,3.82,0.9
"1,2,3,4,7,13;A","AAAABBABBBBBABBB",5.81144885416667,1.98083437804831,5.602515,9.89258247764031,30.1429616666667,18.6359574730222,13.62,0.728125,3.9,0.9
"1,2,3,4,7,14;A","AAAABBABBBBBBABB",5.73056208333333,1.97629702976584,5.83532166666667,10.0010819061636,30.467575,18.6673507130877,13.40125,0.70625,4.02,0.9
"1,2,3,4,7,15;A","AAAABBABBBBBBBAB",5.63337760416667,1.97624985261151,6.14876333333333,10.0755095103512,30.9419766666667,18.768018503122,13.154375,0.68625,4.1,0.92
"1,2,3,4,7,16;A","AAAABBABBBBBBBBA",5.5034740625,1.9657003713435,6.60364,10.093739330066,31.7818133333333,19.0580414895517,12.804375,0.665625,4.17,0.92
"1,2,3,4,8,9;A","AAAABBBAABBBBBBB",6.03927916666667,2.15973855250781,5.22570833333333,9.6550280141934,29.663195,18.689417441339,14.388125,0.793125,3.63,0.9
"1,2,3,4,8,10;A","AAAABBBABABBBBBB",5.9697053125,2.06943713597748,5.28921166666667,9.71406844375684,29.7431066666667,18.6605251370556,14.16875,0.7625,3.7,0.91
"1,2,3,4,8,11;A","AAAABBBABBABBBBB",5.90359947916667,2.00726047253471,5.37276,9.7796909003659,29.8503516666667,18.628151770227,13.903125,0.746875,3.78,0.92
"1,2,3,4,8,12;A","AAAABBBABBBABBBB",5.8393440625,1.9681321769482,5.49352333333333,9.85623811413015,30.0021916666667,18.6033249398187,13.681875,0.73,3.87,0.92
"1,2,3,4,8,13;A","AAAABBBABBBBABBB",5.76759364583333,1.94400971531335,5.6663,9.95071071872327,30.2200316666667,18.5880369247595,13.49625,0.705625,3.97,0.92
"1,2,3,4,8,14;A","AAAABBBABBBBBABB",5.68582958333333,1.93217725670823,5.89688333333333,10.0569496070537,30.541995,18.6189457517414,13.26375,0.68125,4.08,0.92
"1,2,3,4,8,15;A","AAAABBBABBBBBBAB",5.58789104166667,1.92489582580488,6.20662166666667,10.1277405105803,31.0115433333333,18.7213845121839,13.010625,0.65875,4.16,0.94
"1,2,3,4,8,16;A","AAAABBBABBBBBBBA",5.45756833333333,1.90588324709685,6.65930166666667,10.1438475438709,31.8446733333333,19.0116012535726,12.658125,0.64,4.23,0.94
"1,2,3,4,9,10;A","AAAABBBBAABBBBBB",5.9390653125,2.10042632729496,5.36954166666667,9.79285815118496,29.8440216666667,18.6132695826567,14.065,0.75875,3.8,0.95
"1,2,3,4,9,11;A","AAAABBBBABABBBBB",5.86771802083333,2.01837175205092,5.45258333333333,9.85382135379888,29.9500916666667,18.5790572057906,13.781875,0.740625,3.88,0.96
"1,2,3,4,9,12;A","AAAABBBBABBABBBB",5.79890322916667,1.96497789321232,5.56855333333333,9.92652877585325,30.0964416666667,18.5561470462793,13.54625,0.723125,3.96,0.96
